Genre,Sum of Global Sales,,Genre,Count of Publisher,,,,,,Rank,Sum of Global Sales
Action,4216,,Action,3316,,,,,,1,83
Adventure,1362,,Adventure,1286,,,,,,Wii Sports,83
Fighting,1067,,Fighting,848,,,,,,2,41
Misc,2145,,Misc,1739,,,,,,Super Mario Bros.,41
Platform,1460,,Platform,886,,,,,,3,36
Puzzle,716,,Puzzle,582,,,,,,Mario Kart Wii,36
Racing,1661,,Racing,1249,,,,,,4,33
Role-Playing,2040,,Role-Playing,1488,,,,,,Wii Sports Resort,33
Shooter,1969,,Shooter,1310,,,,,,5,32
Simulation,1057,,Simulation,867,,,,,,Pokemon Red/Pokemon Blue,32
Sports,3009,,Sports,2346,,,,,,6,31
Strategy,735,,Strategy,681,,,,,,Tetris,31
Grand Total,21437,,Grand Total,16598,,,,,,7,31
,,,,,,,,,,New Super Mario Bros.,31
,,,,,,,,,,8,30
,,,,,,,,,,Wii Play,30
,,,,,,,,,,9,29
,,,,,,,,,,New Super Mario Bros. Wii,29
,,,,,,,,,,10,29
,,,,,,,,,,Duck Hunt,29
,,,,,,,,,,Grand Total,375
